,Movie Name,Description,Genre,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross (in M)
100,Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Adventure,2009,153,8.3,69,1351604,120.54
101,Eternal Sunshine of the Spotless Mind,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Drama,2004,108,8.3,89,957767,34.4
102,Le fabuleux destin d'Amélie Poulain,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",Comedy,2001,122,8.3,69,730395,33.23
103,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Comedy,2000,104,8.3,55,819535,30.33
104,Requiem for a Dream,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Drama            ,2000,102,8.3,68,802830,3.64
105,American Beauty,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Drama            ,1999,122,8.3,84,1112971,130.1
106,Good Will Hunting,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Drama,1997,126,8.3,70,911951,138.43
107,Bacheha-Ye aseman,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Drama,1997,89,8.3,77,71320,0.93
108,Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,Animation,1995,81,8.3,95,937245,191.8
109,Braveheart,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Biography,1995,178,8.3,68,996477,75.6
110,Reservoir Dogs,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Crime,1992,99,8.3,79,967926,2.83
111,Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Drama,1987,116,8.3,76,708315,46.36
112,Idi i smotri,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Drama,1985,142,8.3,0,70086,0
113,Aliens,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",Action,1986,137,8.3,84,685673,85.16
114,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",Crime,1984,229,8.3,75,333714,5.32
